station_name,latitude,longitude,zone,lines
Aldgate,51.5142,-0.0756,1,"Circle, Metropolitan"
Aldgate East,51.5152,-0.0723,1,"District, Hammersmith & City"
Angel,51.5326,-0.1058,1,Northern
Baker Street,51.5229,-0.1571,1,"Bakerloo, Circle, Hammersmith & City, Jubilee, Metropolitan"
Bank,51.5134,-0.0890,1,"Central, Northern, Waterloo & City"
Barbican,51.5201,-0.0975,1,"Circle, Hammersmith & City, Metropolitan"
Bayswater,51.5123,-0.1879,1,"Circle, District"
Blackfriars,51.5116,-0.1031,1,"Circle, District"
Bond Street,51.5142,-0.1494,1,"Central, Jubilee"
Borough,51.5011,-0.0933,1,Northern
Cannon Street,51.5114,-0.0903,1,"Circle, District"
Chancery Lane,51.5182,-0.1111,1,Central
Charing Cross,51.5074,-0.1273,1,"Bakerloo, Northern"
Covent Garden,51.5129,-0.1243,1,Piccadilly
Earl's Court,51.4912,-0.1931,1,"District, Piccadilly"
Edgware Road,51.5203,-0.1678,1,"Bakerloo, Circle, District, Hammersmith & City"
Embankment,51.5071,-0.1223,1,"Bakerloo, Circle, District, Northern"
Euston,51.5281,-0.1336,1,"Northern, Victoria"
Euston Square,51.5257,-0.1357,1,"Circle, Hammersmith & City, Metropolitan"
Farringdon,51.5204,-0.1051,1,"Circle, Hammersmith & City, Metropolitan"
Gloucester Road,51.4944,-0.1829,1,"Circle, District, Piccadilly"
Goodge Street,51.5205,-0.1345,1,Northern
Green Park,51.5069,-0.1428,1,"Jubilee, Piccadilly, Victoria"
Holborn,51.5174,-0.1207,1,"Central, Piccadilly"
Hyde Park Corner,51.5028,-0.1527,1,Piccadilly
King's Cross St. Pancras,51.5308,-0.1238,1,"Circle, Hammersmith & City, Metropolitan, Northern, Piccadilly, Victoria"
Knightsbridge,51.5013,-0.1605,1,Piccadilly
Lambeth North,51.4991,-0.1121,1,Bakerloo
Lancaster Gate,51.5117,-0.1755,1,Central
Leicester Square,51.5113,-0.1281,1,"Northern, Piccadilly"
Liverpool Street,51.5178,-0.0820,1,"Central, Circle, Hammersmith & City, Metropolitan"
London Bridge,51.5050,-0.0860,1,"Jubilee, Northern"
Mansion House,51.5123,-0.0940,1,"Circle, District"
Marble Arch,51.5136,-0.1586,1,Central
Marylebone,51.5225,-0.1632,1,Bakerloo
Monument,51.5111,-0.0853,1,"Circle, District"
Moorgate,51.5184,-0.0886,1,"Circle, Hammersmith & City, Metropolitan, Northern"
Notting Hill Gate,51.5091,-0.1961,1,"Central, Circle, District"
Old Street,51.5257,-0.0877,1,Northern
Oxford Circus,51.5152,-0.1415,1,"Bakerloo, Central, Victoria"
